ANIO_REGISTRO,MES_REGISTRO,TIPO_ACTA,DE_GENERO,DEPART_CIUDAD_ESTADO_DOM_SOL,PROVINCIA_DOM_SOL,CANT_COPIAS_EMITIDAS
2022,AGOSTO,DEFUNCION,FEMENINO,JUNIN,YAULI,20
2022,AGOSTO,DEFUNCION,FEMENINO,LA LIBERTAD,ASCOPE,73
2022,AGOSTO,DEFUNCION,FEMENINO,LA LIBERTAD,CHEPEN,18
2022,AGOSTO,DEFUNCION,FEMENINO,LA LIBERTAD,GRAN CHIMU,23
2022,AGOSTO,DEFUNCION,FEMENINO,LA LIBERTAD,JULCAN,2
2022,AGOSTO,DEFUNCION,FEMENINO,LA LIBERTAD,OTUZCO,14
2022,AGOSTO,DEFUNCION,FEMENINO,LA LIBERTAD,PACASMAYO,19
2022,AGOSTO,DEFUNCION,FEMENINO,LA LIBERTAD,PATAZ,1
2022,AGOSTO,DEFUNCION,FEMENINO,LA LIBERTAD,SANCHEZ CARRION,5
2022,AGOSTO,DEFUNCION,FEMENINO,LA LIBERTAD,SANTIAGO DE CHUCO,3
2022,AGOSTO,DEFUNCION,FEMENINO,LA LIBERTAD,TRUJILLO,838
2022,AGOSTO,DEFUNCION,FEMENINO,LA LIBERTAD,VIRU,36
2022,AGOSTO,DEFUNCION,FEMENINO,LAMBAYEQUE,CHICLAYO,116
2022,AGOSTO,DEFUNCION,FEMENINO,LAMBAYEQUE,FERREÑAFE,8
2022,AGOSTO,DEFUNCION,FEMENINO,LAMBAYEQUE,LAMBAYEQUE,16
2022,AGOSTO,DEFUNCION,FEMENINO,LIMA,BARRANCA,53
2022,AGOSTO,DEFUNCION,FEMENINO,LIMA,CANTA,4
2022,AGOSTO,DEFUNCION,FEMENINO,LIMA,CAÑETE,61
2022,AGOSTO,DEFUNCION,FEMENINO,LIMA,HUARAL,79
2022,AGOSTO,DEFUNCION,FEMENINO,LIMA,HUAROCHIRI,27
2022,AGOSTO,DEFUNCION,FEMENINO,LIMA,HUAURA,61
2022,AGOSTO,DEFUNCION,FEMENINO,LIMA,LIMA,4935
2022,AGOSTO,DEFUNCION,FEMENINO,LIMA,OYON,3
2022,AGOSTO,DEFUNCION,FEMENINO,LIMA,YAUYOS,10
2022,AGOSTO,DEFUNCION,FEMENINO,LORETO,ALTO AMAZONAS,24
2022,AGOSTO,DEFUNCION,FEMENINO,LORETO,DATEM DEL MARAÑON,1
2022,AGOSTO,DEFUNCION,FEMENINO,LORETO,LORETO,2
2022,AGOSTO,DEFUNCION,FEMENINO,LORETO,MARISCAL RAMON CASTILLA,1
2022,AGOSTO,DEFUNCION,FEMENINO,LORETO,MAYNAS,67
2022,AGOSTO,DEFUNCION,FEMENINO,LORETO,PUTUMAYO,2
2022,AGOSTO,DEFUNCION,FEMENINO,LORETO,UCAYALI,2
2022,AGOSTO,DEFUNCION,FEMENINO,MADRE DE DIOS,MANU,3
2022,AGOSTO,DEFUNCION,FEMENINO,MADRE DE DIOS,TAHUAMANU,4
2022,AGOSTO,DEFUNCION,FEMENINO,MADRE DE DIOS,TAMBOPATA,48
2022,AGOSTO,DEFUNCION,FEMENINO,MEXICO,JALISCO,1
2022,AGOSTO,DEFUNCION,FEMENINO,MOQUEGUA,GENERAL SANCHEZ CERRO,2
2022,AGOSTO,DEFUNCION,FEMENINO,MOQUEGUA,ILO,13
2022,AGOSTO,DEFUNCION,FEMENINO,MOQUEGUA,MARISCAL NIETO,22
2022,AGOSTO,DEFUNCION,FEMENINO,PASCO,DANIEL ALCIDES CARRION,2
2022,AGOSTO,DEFUNCION,FEMENINO,PASCO,OXAPAMPA,13
2022,AGOSTO,DEFUNCION,FEMENINO,PASCO,PASCO,15
2022,AGOSTO,DEFUNCION,FEMENINO,PIURA,AYABACA,13
2022,AGOSTO,DEFUNCION,FEMENINO,PIURA,HUANCABAMBA,9
2022,AGOSTO,DEFUNCION,FEMENINO,PIURA,MORROPON,45
2022,AGOSTO,DEFUNCION,FEMENINO,PIURA,PAITA,48
2022,AGOSTO,DEFUNCION,FEMENINO,PIURA,PIURA,140
2022,AGOSTO,DEFUNCION,FEMENINO,PIURA,SECHURA,20
2022,AGOSTO,DEFUNCION,FEMENINO,PIURA,SULLANA,95
2022,AGOSTO,DEFUNCION,FEMENINO,PIURA,TALARA,44
2022,AGOSTO,DEFUNCION,FEMENINO,PUNO,AZANGARO,12
2022,AGOSTO,DEFUNCION,FEMENINO,PUNO,CARABAYA,4
2022,AGOSTO,DEFUNCION,FEMENINO,PUNO,CHUCUITO,12
2022,AGOSTO,DEFUNCION,FEMENINO,PUNO,EL COLLAO,15
2022,AGOSTO,DEFUNCION,FEMENINO,PUNO,HUANCANE,13
2022,AGOSTO,DEFUNCION,FEMENINO,PUNO,LAMPA,11
2022,AGOSTO,DEFUNCION,FEMENINO,PUNO,MELGAR,5
2022,AGOSTO,DEFUNCION,FEMENINO,PUNO,MOHO,8
2022,AGOSTO,DEFUNCION,FEMENINO,PUNO,PUNO,67
2022,AGOSTO,DEFUNCION,FEMENINO,PUNO,SAN ANTONIO DE PUTINA,6
2022,AGOSTO,DEFUNCION,FEMENINO,PUNO,SAN ROMAN,62
2022,AGOSTO,DEFUNCION,FEMENINO,PUNO,SANDIA,9
2022,AGOSTO,DEFUNCION,FEMENINO,PUNO,YUNGUYO,1
2022,AGOSTO,DEFUNCION,FEMENINO,REINO UNIDO DE GRAN BRETAÑA E IRLANDA DEL NORTE,INGLATERRA,2
2022,AGOSTO,DEFUNCION,FEMENINO,SAN MARTIN,BELLAVISTA,5
2022,AGOSTO,DEFUNCION,FEMENINO,SAN MARTIN,EL DORADO,4
2022,AGOSTO,DEFUNCION,FEMENINO,SAN MARTIN,HUALLAGA,3
2022,AGOSTO,DEFUNCION,FEMENINO,SAN MARTIN,LAMAS,13
2022,AGOSTO,DEFUNCION,FEMENINO,SAN MARTIN,MARISCAL CACERES,10
2022,AGOSTO,DEFUNCION,FEMENINO,SAN MARTIN,MOYOBAMBA,9
2022,AGOSTO,DEFUNCION,FEMENINO,SAN MARTIN,PICOTA,14
2022,AGOSTO,DEFUNCION,FEMENINO,SAN MARTIN,RIOJA,13
2022,AGOSTO,DEFUNCION,FEMENINO,SAN MARTIN,SAN MARTIN,42
2022,AGOSTO,DEFUNCION,FEMENINO,SAN MARTIN,TOCACHE,3
2022,AGOSTO,DEFUNCION,FEMENINO,SUIZA,GINEBRA,1
2022,AGOSTO,DEFUNCION,FEMENINO,TACNA,JORGE BASADRE,1
2022,AGOSTO,DEFUNCION,FEMENINO,TACNA,TACNA,145
2022,AGOSTO,DEFUNCION,FEMENINO,TACNA,TARATA,1
2022,AGOSTO,DEFUNCION,FEMENINO,TUMBES,CONTRALMIRANTE VILLAR,4
2022,AGOSTO,DEFUNCION,FEMENINO,TUMBES,TUMBES,42
2022,AGOSTO,DEFUNCION,FEMENINO,TUMBES,ZARUMILLA,6
2022,AGOSTO,DEFUNCION,FEMENINO,UCAYALI,ATALAYA,10
2022,AGOSTO,DEFUNCION,FEMENINO,UCAYALI,CORONEL PORTILLO,138
2022,AGOSTO,DEFUNCION,FEMENINO,UCAYALI,PADRE ABAD,2
2022,AGOSTO,DEFUNCION,MASCULINO,AMAZONAS,BAGUA,4
2022,AGOSTO,DEFUNCION,MASCULINO,AMAZONAS,BONGARA,3
2022,AGOSTO,DEFUNCION,MASCULINO,AMAZONAS,CHACHAPOYAS,1
2022,AGOSTO,DEFUNCION,MASCULINO,AMAZONAS,CONDORCANQUI,2
2022,AGOSTO,DEFUNCION,MASCULINO,AMAZONAS,LUYA,1
2022,AGOSTO,DEFUNCION,MASCULINO,AMAZONAS,RODRIGUEZ DE MENDOZA,1
2022,AGOSTO,DEFUNCION,MASCULINO,AMAZONAS,UTCUBAMBA,1
2022,AGOSTO,DEFUNCION,MASCULINO,ANCASH,ANTONIO RAIMONDI,2
2022,AGOSTO,DEFUNCION,MASCULINO,ANCASH,ASUNCION,1
2022,AGOSTO,DEFUNCION,MASCULINO,ANCASH,BOLOGNESI,1
2022,AGOSTO,DEFUNCION,MASCULINO,ANCASH,CARHUAZ,8
2022,AGOSTO,DEFUNCION,MASCULINO,ANCASH,CARLOS FERMIN FITZCARRALD,1
2022,AGOSTO,DEFUNCION,MASCULINO,ANCASH,CASMA,14
2022,AGOSTO,DEFUNCION,MASCULINO,ANCASH,CORONGO,1
2022,AGOSTO,DEFUNCION,MASCULINO,ANCASH,HUARAZ,35
2022,AGOSTO,DEFUNCION,MASCULINO,ANCASH,HUARI,7
2022,AGOSTO,DEFUNCION,MASCULINO,ANCASH,HUARMEY,1
2022,AGOSTO,DEFUNCION,MASCULINO,ANCASH,HUAYLAS,27
2022,AGOSTO,DEFUNCION,MASCULINO,ANCASH,MARISCAL LUZURIAGA,2
2022,AGOSTO,DEFUNCION,MASCULINO,ANCASH,PALLASCA,2
2022,AGOSTO,DEFUNCION,MASCULINO,ANCASH,POMABAMBA,2
2022,AGOSTO,DEFUNCION,MASCULINO,ANCASH,RECUAY,3
2022,AGOSTO,DEFUNCION,MASCULINO,ANCASH,SANTA,100
2022,AGOSTO,DEFUNCION,MASCULINO,ANCASH,SIHUAS,1
2022,AGOSTO,DEFUNCION,MASCULINO,ANCASH,YUNGAY,35
2022,AGOSTO,DEFUNCION,MASCULINO,APURIMAC,ABANCAY,5
2022,AGOSTO,DEFUNCION,MASCULINO,APURIMAC,ANDAHUAYLAS,7
2022,AGOSTO,DEFUNCION,MASCULINO,APURIMAC,ANTABAMBA,4
2022,AGOSTO,DEFUNCION,MASCULINO,APURIMAC,AYMARAES,10
2022,AGOSTO,DEFUNCION,MASCULINO,APURIMAC,CHINCHEROS,8
2022,AGOSTO,DEFUNCION,MASCULINO,APURIMAC,COTABAMBAS,3
2022,AGOSTO,DEFUNCION,MASCULINO,AREQUIPA,AREQUIPA,251
2022,AGOSTO,DEFUNCION,MASCULINO,AREQUIPA,CAMANA,32
2022,AGOSTO,DEFUNCION,MASCULINO,AREQUIPA,CARAVELI,6
2022,AGOSTO,DEFUNCION,MASCULINO,AREQUIPA,CASTILLA,27
2022,AGOSTO,DEFUNCION,MASCULINO,AREQUIPA,CAYLLOMA,7
2022,AGOSTO,DEFUNCION,MASCULINO,AREQUIPA,ISLAY,9
2022,AGOSTO,DEFUNCION,MASCULINO,ARGENTINA,BUENOS AIRES,2
2022,AGOSTO,DEFUNCION,MASCULINO,ARGENTINA,CORDOBA,1
2022,AGOSTO,DEFUNCION,MASCULINO,AYACUCHO,CANGALLO,17
2022,AGOSTO,DEFUNCION,MASCULINO,AYACUCHO,HUAMANGA,64
2022,AGOSTO,DEFUNCION,MASCULINO,AYACUCHO,HUANTA,5
2022,AGOSTO,DEFUNCION,MASCULINO,AYACUCHO,LA MAR,5
2022,AGOSTO,DEFUNCION,MASCULINO,AYACUCHO,LUCANAS,1
2022,AGOSTO,DEFUNCION,MASCULINO,AYACUCHO,PARINACOCHAS,5
2022,AGOSTO,DEFUNCION,MASCULINO,AYACUCHO,PAUCAR DEL SARA SARA,1
2022,AGOSTO,DEFUNCION,MASCULINO,AYACUCHO,VILCAS HUAMAN,2
2022,AGOSTO,DEFUNCION,MASCULINO,BRASIL,MANAOS,1
2022,AGOSTO,DEFUNCION,MASCULINO,BRASIL,SAO PAULO,2
2022,AGOSTO,DEFUNCION,MASCULINO,BRASIL,TOCANTINS,1
2022,AGOSTO,DEFUNCION,MASCULINO,CAJAMARCA,CAJABAMBA,3
2022,AGOSTO,DEFUNCION,MASCULINO,CAJAMARCA,CAJAMARCA,88
2022,AGOSTO,DEFUNCION,MASCULINO,CAJAMARCA,CELENDIN,4
2022,AGOSTO,DEFUNCION,MASCULINO,CAJAMARCA,CHOTA,3
2022,AGOSTO,DEFUNCION,MASCULINO,CAJAMARCA,CONTUMAZA,1
2022,AGOSTO,DEFUNCION,MASCULINO,CAJAMARCA,CUTERVO,14
2022,AGOSTO,DEFUNCION,MASCULINO,CAJAMARCA,HUALGAYOC,11
2022,AGOSTO,DEFUNCION,MASCULINO,CAJAMARCA,JAEN,68
2022,AGOSTO,DEFUNCION,MASCULINO,CAJAMARCA,SAN IGNACIO,13
2022,AGOSTO,DEFUNCION,MASCULINO,CAJAMARCA,SAN MARCOS,4
2022,AGOSTO,DEFUNCION,MASCULINO,CAJAMARCA,SAN MIGUEL,8
2022,AGOSTO,DEFUNCION,MASCULINO,CAJAMARCA,SAN PABLO,1
2022,AGOSTO,DEFUNCION,MASCULINO,CAJAMARCA,SANTA CRUZ,2
2022,AGOSTO,DEFUNCION,MASCULINO,CALLAO,CALLAO,483
2022,AGOSTO,DEFUNCION,MASCULINO,CANADA,MONTREAL,1
2022,AGOSTO,DEFUNCION,MASCULINO,CANADA,QUEBEC,2
2022,AGOSTO,DEFUNCION,MASCULINO,CANADA,TORONTO,1
2022,AGOSTO,DEFUNCION,MASCULINO,CHILE,IQUIQUE,1
2022,AGOSTO,DEFUNCION,MASCULINO,CHILE,SANTIAGO,2
2022,AGOSTO,DEFUNCION,MASCULINO,COLOMBIA,BOGOTA,1
2022,AGOSTO,DEFUNCION,MASCULINO,CUSCO,ACOMAYO,3
2022,AGOSTO,DEFUNCION,MASCULINO,CUSCO,ANTA,13
2022,AGOSTO,DEFUNCION,MASCULINO,CUSCO,CALCA,3
2022,AGOSTO,DEFUNCION,MASCULINO,CUSCO,CANAS,6
2022,AGOSTO,DEFUNCION,MASCULINO,CUSCO,CANCHIS,26
2022,AGOSTO,DEFUNCION,MASCULINO,CUSCO,CHUMBIVILCAS,9
2022,AGOSTO,DEFUNCION,MASCULINO,CUSCO,CUSCO,111
2022,AGOSTO,DEFUNCION,MASCULINO,CUSCO,ESPINAR,11
2022,AGOSTO,DEFUNCION,MASCULINO,CUSCO,LA CONVENCION,20
2022,AGOSTO,DEFUNCION,MASCULINO,CUSCO,PARURO,1
2022,AGOSTO,DEFUNCION,MASCULINO,CUSCO,PAUCARTAMBO,1
2022,AGOSTO,DEFUNCION,MASCULINO,CUSCO,QUISPICANCHI,22
2022,AGOSTO,DEFUNCION,MASCULINO,CUSCO,URUBAMBA,18
2022,AGOSTO,DEFUNCION,MASCULINO,ECUADOR,QUITO,1
2022,AGOSTO,DEFUNCION,MASCULINO,ESPAÑA,BARCELONA,2
2022,AGOSTO,DEFUNCION,MASCULINO,ESPAÑA,CANTABRIA,1
2022,AGOSTO,DEFUNCION,MASCULINO,ESPAÑA,MADRID,7
2022,AGOSTO,DEFUNCION,MASCULINO,ESPAÑA,SEVILLA,1
2022,AGOSTO,DEFUNCION,MASCULINO,ESTADOS UNIDOS DE AMERICA,HOUSTON,1
2022,AGOSTO,DEFUNCION,MASCULINO,ESTADOS UNIDOS DE AMERICA,LOS ANGELES,1
2022,AGOSTO,DEFUNCION,MASCULINO,ESTADOS UNIDOS DE AMERICA,MARYLAND,2
2022,AGOSTO,DEFUNCION,MASCULINO,ESTADOS UNIDOS DE AMERICA,MIAMI,2
2022,AGOSTO,DEFUNCION,MASCULINO,ESTADOS UNIDOS DE AMERICA,NUEVA JERSEY,3
2022,AGOSTO,DEFUNCION,MASCULINO,ESTADOS UNIDOS DE AMERICA,NUEVA YORK,2
2022,AGOSTO,DEFUNCION,MASCULINO,ESTADOS UNIDOS DE AMERICA,TENNESSEE,1
2022,AGOSTO,DEFUNCION,MASCULINO,ESTADOS UNIDOS DE AMERICA,VIRGINIA,1
2022,AGOSTO,DEFUNCION,MASCULINO,FRANCIA,ILE DE FRANCE,1
2022,AGOSTO,DEFUNCION,MASCULINO,FRANCIA,PARIS,1
2022,AGOSTO,DEFUNCION,MASCULINO,GRAN BRETAÑA,LONDRES,2
